Obj1,Aspect,Obj2,Score
Sun,0,Sun,1
Sun,60,Sun,3
Sun,90,Sun,-2
Sun,120,Sun,3
Sun,180,Sun,2
Sun,0,Moon,3
Sun,60,Moon,3
Sun,90,Moon,-3
Sun,120,Moon,3
Sun,180,Moon,2
Sun,0,Mercury,2
Sun,60,Mercury,2
Sun,90,Mercury,-1
Sun,120,Mercury,2
Sun,180,Mercury,-1
Sun,0,Venus,3
Sun,60,Venus,2
Sun,90,Venus,-1
Sun,120,Venus,3
Sun,180,Venus,-1
Sun,0,Mars,2
Sun,60,Mars,3
Sun,90,Mars,-2
Sun,120,Mars,3
Sun,180,Mars,-2
Sun,0,Jupiter,3
Sun,60,Jupiter,3
Sun,90,Jupiter,1
Sun,120,Jupiter,3
Sun,180,Jupiter,1
Sun,0,Saturn,-2
Sun,60,Saturn,3
Sun,90,Saturn,-2
Sun,120,Saturn,3
Sun,180,Saturn,-2
Sun,0,Uranus,-1
Sun,60,Uranus,2
Sun,90,Uranus,-1
Sun,120,Uranus,2
Sun,180,Uranus,-1
Sun,0,Neptune,-2
Sun,60,Neptune,1
Sun,90,Neptune,-2
Sun,120,Neptune,1
Sun,180,Neptune,-2
Sun,0,Pluto,1
Sun,60,Pluto,1
Sun,90,Pluto,-2
Sun,120,Pluto,1
Sun,180,Pluto,-2
Sun,0,Ascendant,3
Sun,60,Ascendant,2
Sun,90,Ascendant,-2
Sun,120,Ascendant,2
Sun,0,Descendant,4
Sun,0,IC,2
Moon,0,Moon,3
Moon,60,Moon,3
Moon,90,Moon,-3
Moon,120,Moon,3
Moon,180,Moon,1
Moon,0,Mercury,2
Moon,60,Mercury,2
Moon,90,Mercury,-2
Moon,120,Mercury,2
Moon,180,Mercury,-2
Moon,0,Venus,3
Moon,60,Venus,3
Moon,90,Venus,1
Moon,120,Venus,3
Moon,180,Venus,1
Moon,0,Mars,-1
Moon,60,Mars,3
Moon,90,Mars,-3
Moon,120,Mars,3
Moon,180,Mars,-2
Moon,0,Jupiter,3
Moon,60,Jupiter,3
Moon,90,Jupiter,1
Moon,120,Jupiter,3
Moon,180,Jupiter,1
Moon,0,Saturn,-3
Moon,60,Saturn,3
Moon,90,Saturn,-4
Moon,120,Saturn,3
Moon,180,Saturn,-3
Moon,0,Uranus,-1
Moon,60,Uranus,2
Moon,90,Uranus,-2
Moon,120,Uranus,2
Moon,180,Uranus,-2
Moon,0,Neptune,1
Moon,60,Neptune,2
Moon,90,Neptune,-3
Moon,120,Neptune,2
Moon,180,Neptune,-3
Moon,0,Pluto,1
Moon,60,Pluto,2
Moon,90,Pluto,-3
Moon,120,Pluto,2
Moon,180,Pluto,-3
Moon,0,Ascendant,3
Moon,60,Ascendant,3
Moon,90,Ascendant,-2
Moon,120,Ascendant,3
Moon,0,Descendant,4
Moon,0,IC,3
Mercury,0,Mercury,2
Mercury,60,Mercury,2
Mercury,90,Mercury,-4
Mercury,120,Mercury,2
Mercury,180,Mercury,-2
Mercury,0,Venus,2
Mercury,60,Venus,2
Mercury,90,Venus,-1
Mercury,120,Venus,2
Mercury,180,Venus,-1
Mercury,0,Mars,-1
Mercury,60,Mars,2
Mercury,90,Mars,-2
Mercury,120,Mars,2
Mercury,180,Mars,-2
Mercury,0,Jupiter,3
Mercury,60,Jupiter,3
Mercury,90,Jupiter,1
Mercury,120,Jupiter,3
Mercury,180,Jupiter,1
Mercury,0,Saturn,-2
Mercury,60,Saturn,1
Mercury,90,Saturn,-2
Mercury,120,Saturn,1
Mercury,180,Saturn,-2
Mercury,0,Uranus,1
Mercury,60,Uranus,1
Mercury,90,Uranus,1
Mercury,120,Uranus,1
Mercury,180,Uranus,1
Mercury,60,Neptune,1
Mercury,90,Neptune,-3
Mercury,120,Neptune,1
Mercury,180,Neptune,-3
Mercury,0,Pluto,1
Mercury,60,Pluto,1
Mercury,90,Pluto,1
Mercury,120,Pluto,1
Mercury,180,Pluto,1
Mercury,0,Ascendant,2
Mercury,60,Ascendant,1
Mercury,90,Ascendant,-1
Mercury,120,Ascendant,1
Mercury,0,Descendant,2
Mercury,0,IC,2
Mercury,0,MC,2
Venus,0,Venus,3
Venus,60,Venus,3
Venus,90,Venus,1
Venus,120,Venus,3
Venus,180,Venus,3
Venus,0,Mars,3
Venus,60,Mars,3
Venus,90,Mars,2
Venus,120,Mars,3
Venus,180,Mars,2
Venus,0,Jupiter,3
Venus,60,Jupiter,2
Venus,90,Jupiter,1
Venus,120,Jupiter,2
Venus,180,Jupiter,1
Venus,0,Saturn,2
Venus,60,Saturn,3
Venus,90,Saturn,-4
Venus,120,Saturn,3
Venus,180,Saturn,-3
Venus,0,Uranus,1
Venus,60,Uranus,2
Venus,90,Uranus,-2
Venus,120,Uranus,2
Venus,180,Uranus,-2
Venus,0,Neptune,2
Venus,60,Neptune,2
Venus,90,Neptune,-3
Venus,120,Neptune,2
Venus,180,Neptune,-3
Venus,0,Pluto,2
Venus,60,Pluto,2
Venus,90,Pluto,-2
Venus,120,Pluto,2
Venus,180,Pluto,-2
Venus,0,Ascendant,3
Venus,60,Ascendant,2
Venus,90,Ascendant,1
Venus,120,Ascendant,2
Venus,0,Descendant,3
Venus,0,IC,2
Venus,0,MC,2
Mars,0,Mars,2
Mars,60,Mars,2
Mars,90,Mars,-2
Mars,120,Mars,2
Mars,180,Mars,-2
Mars,0,Jupiter,2
Mars,60,Jupiter,2
Mars,90,Jupiter,2
Mars,120,Jupiter,2
Mars,180,Jupiter,2
Mars,0,Saturn,-3
Mars,60,Saturn,1
Mars,90,Saturn,-4
Mars,120,Saturn,1
Mars,180,Saturn,-4
Mars,0,Uranus,1
Mars,60,Uranus,1
Mars,90,Uranus,-2
Mars,120,Uranus,1
Mars,180,Uranus,-2
Mars,0,Neptune,-2
Mars,60,Neptune,1
Mars,90,Neptune,-2
Mars,120,Neptune,1
Mars,180,Neptune,-2
Mars,0,Pluto,2
Mars,60,Pluto,2
Mars,90,Pluto,-3
Mars,120,Pluto,2
Mars,180,Pluto,-3
Mars,0,Ascendant,2
Mars,60,Ascendant,2
Mars,90,Ascendant,-1
Mars,120,Ascendant,2
Mars,0,Descendant,2
Jupiter,0,Jupiter,2
Jupiter,60,Jupiter,2
Jupiter,90,Jupiter,2
Jupiter,120,Jupiter,2
Jupiter,180,Jupiter,2
Jupiter,0,Saturn,1
Jupiter,60,Saturn,1
Jupiter,90,Saturn,-1
Jupiter,120,Saturn,1
Jupiter,180,Saturn,-1
Jupiter,0,Uranus,1
Jupiter,60,Uranus,1
Jupiter,90,Uranus,1
Jupiter,120,Uranus,1
Jupiter,180,Uranus,1
Jupiter,0,Neptune,1
Jupiter,60,Neptune,1
Jupiter,90,Neptune,-1
Jupiter,120,Neptune,1
Jupiter,180,Neptune,-1
Jupiter,0,Pluto,1
Jupiter,60,Pluto,1
Jupiter,90,Pluto,-1
Jupiter,120,Pluto,1
Jupiter,180,Pluto,-1
Jupiter,0,Ascendant,2
Jupiter,60,Ascendant,1
Jupiter,90,Ascendant,1
Jupiter,120,Ascendant,1
Jupiter,0,Ascendant,2
Saturn,60,Saturn,1
Saturn,90,Saturn,-1
Saturn,120,Saturn,1
Saturn,180,Saturn,-1
Saturn,0,Ascendant,-2
Saturn,60,Ascendant,1
Saturn,90,Ascendant,-2
Saturn,120,Ascendant,1
Saturn,180,Ascendant,-2
Uranus,0,Descendant,-3
Neptune,0,Ascendant,-2
Neptune,0,Descendant,-2
Pluto,0,Descendant,1
Ascendant,0,Ascendant,1
Ascendant,60,Ascendant,2
Ascendant,90,Ascendant,-2
Ascendant,120,Ascendant,2
Ascendant,180,Ascendant,2